view,api,permission
set_language,/i18n/setlang/,NO_EXPLICIT_PERMISSION_REQUIRED
redirect_to_default_application_page,/,NO_EXPLICIT_PERMISSION_REQUIRED
CrfFieldLookupValuesAPIView,/api/fields/values,SUBJECT.VIEW
CrfFormDetailView,/crf/forms/<int:form_id>,STUDY_CONFIG.VIEW
CrfFormBuilderView,/crf/forms/<int:form_id>/builder,STUDY_CONFIG.MANAGE
CrfFormBuilderView,/crf/forms/<int:form_id>/fields,STUDY_CONFIG.MANAGE
CrfFieldUpdateView,/crf/fields/<int:field_id>,STUDY_CONFIG.MANAGE
DataCaptureSaveAPIView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/save/,CRF.ENTER
DataCaptureSubmitAPIView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/submit/,CRF.SUBMIT
DataCaptureDeleteDraftAPIView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/delete-draft/,CRF.UPDATE
QueryLifecycleActionAPIView,/api/studies/<int:study_id>/queries/<int:query_id>/<str:action>/,action answer: QUERY.RESPOND; action cancel: QUERY.CANCEL; action close: QUERY.CLOSE; action reopen: QUERY.RETURN; action request_clarification: QUERY.RETURN; action resolve: QUERY.CLOSE
IdentityLoginView,/login/,NO_EXPLICIT_PERMISSION_REQUIRED
IdentityLogoutView,/logout/,NO_EXPLICIT_PERMISSION_REQUIRED
CurrentUserProfileView,/admin/user/me/profile/,NO_EXPLICIT_PERMISSION_REQUIRED
CurrentUserChangePasswordView,/admin/user/me/change-password/,NO_EXPLICIT_PERMISSION_REQUIRED
IdentityUsersView,/users,USER_ACCESS.VIEW
IdentityUserCreateView,/users/create,USER_ACCESS.MANAGE
IdentityUserDetailView,/users/<int:user_id>,USER_ACCESS.VIEW
IdentityUserDeleteView,/users/<int:user_id>/delete,USER_ACCESS.MANAGE
IdentityUserRestoreView,/users/<int:user_id>/restore,USER_ACCESS.MANAGE
IdentityStudyOptionsApiView,/api/studies,STUDY_CONFIG.VIEW
IdentityStudySiteOptionsApiView,/api/studies/sites,STUDY_CONFIG.VIEW; site.view_site_list
IdentitySessionStatusView,/api/session/status,NO_EXPLICIT_PERMISSION_REQUIRED
IdentityUserFirstLoginView,/first-login,NO_EXPLICIT_PERMISSION_REQUIRED
IdentityForgotPasswordView,/forgot-password/,NO_EXPLICIT_PERMISSION_REQUIRED
PasswordResetDoneView,/forgot-password/done/,NO_EXPLICIT_PERMISSION_REQUIRED
IdentityResetPasswordConfirmView,/reset-password/<uidb64>/<token>/,NO_EXPLICIT_PERMISSION_REQUIRED
PasswordResetCompleteView,/reset-password/done/,NO_EXPLICIT_PERMISSION_REQUIRED
DashboardMainView,/dashboard/,dashboard.view_dashboard
StudyListView,/studies,STUDY_CONFIG.VIEW
StudyCreateView,/studies/new,study.create_study
StudyDetailView,/studies/<int:study_id>,STUDY_CONFIG.VIEW
StudyManageRolesView,/studies/<int:study_id>/roles,USER_ACCESS.VIEW
StudyRoleCreateView,/studies/<int:study_id>/roles/create,USER_ACCESS.MANAGE
StudyCrfTemplateImportTemplateView,/studies/<int:study_id>/crftemplates/import,STUDY_CONFIG.MANAGE
StudyCrfTemplateFieldImportTemplateView,/studies/<int:study_id>/crftemplates/fields/import,STUDY_CONFIG.MANAGE
