Scheme Code,Randomization ID,Sequence No,Block No,Arm Code
NNG31_XOVER,R-001,1,1,SEQ_N_E
NNG31_XOVER,R-002,2,1,SEQ_N_E
NNG31_XOVER,R-003,3,1,SEQ_E_N
NNG31_XOVER,R-004,4,1,SEQ_E_N
NNG31_XOVER,R-005,5,2,SEQ_E_N
NNG31_XOVER,R-006,6,2,SEQ_N_E
NNG31_XOVER,R-007,7,2,SEQ_E_N
NNG31_XOVER,R-008,8,2,SEQ_N_E
NNG31_XOVER,R-009,9,3,SEQ_E_N
NNG31_XOVER,R-010,10,3,SEQ_N_E
NNG31_XOVER,R-011,11,3,SEQ_E_N
NNG31_XOVER,R-012,12,3,SEQ_N_E
NNG31_XOVER,R-013,13,4,SEQ_E_N
NNG31_XOVER,R-014,14,4,SEQ_N_E
NNG31_XOVER,R-015,15,4,SEQ_E_N
NNG31_XOVER,R-016,16,4,SEQ_N_E
NNG31_XOVER,R-017,17,5,SEQ_E_N
NNG31_XOVER,R-018,18,5,SEQ_N_E
NNG31_XOVER,R-019,19,5,SEQ_E_N
NNG31_XOVER,R-020,20,5,SEQ_N_E
NNG31_XOVER,R-021,21,6,SEQ_E_N
NNG31_XOVER,R-022,22,6,SEQ_N_E
NNG31_XOVER,R-023,23,6,SEQ_E_N
NNG31_XOVER,R-024,24,6,SEQ_N_E
NNG31_XOVER,R-025,25,6,SEQ_E_N
NNG31_XOVER,R-026,26,6,SEQ_N_E
NNG31_XOVER,R-027,27,7,SEQ_E_N
NNG31_XOVER,R-028,28,7,SEQ_N_E
NNG31_XOVER,R-029,29,7,SEQ_E_N
NNG31_XOVER,R-030,30,7,SEQ_N_E
NNG31_XOVER,R-031,31,7,SEQ_E_N
NNG31_XOVER,R-032,32,7,SEQ_N_E
NNG31_XOVER,R-033,33,8,SEQ_E_N
NNG31_XOVER,R-034,34,8,SEQ_N_E
NNG31_XOVER,R-035,35,8,SEQ_E_N
NNG31_XOVER,R-036,36,8,SEQ_N_E
NNG31_XOVER,R-037,37,8,SEQ_E_N
NNG31_XOVER,R-038,38,8,SEQ_N_E
NNG31_XOVER,R-039,39,9,SEQ_E_N
NNG31_XOVER,R-040,40,9,SEQ_N_E
NNG31_XOVER,R-041,41,9,SEQ_E_N
NNG31_XOVER,R-042,42,9,SEQ_N_E
NNG31_XOVER,R-043,43,9,SEQ_E_N
NNG31_XOVER,R-044,44,9,SEQ_N_E
